language,sentences
es,"sllama.Detuviéronse todos, y conocieron "
fr,"lui-ci àpeine éloigné, la canne reparut "
fr,requ'il n'en avait coulé que le sang néc
fr,t selon les règles de la chevalerie.Cela
fr, garder unsecret inviolable (p. 218).]En
fr,is j'ai traité de bonne foi avec monmaît
es,"es, y,finalmente, todas cuantas figuras "
fr," maison quelquechrétienne renégate, nous"
fr,"hension, il conjura son maître de s'éloi"
fr,"vie, je resterai en compagnie de madame "
es,", esperando que el tiempo gaste alguna p"
es,r ahorano le he menester; que antes me t
fr,"à voix basse si nous étions _Nazarani_, "
fr,"chrétiens, ilse mit à pousser des cris. "
es,"tino tiene alerta, porque no se lequede "
fr,our viendraoù je pourrais m'en entendre 
es,"zán, marqués de SantaCruz. Y no quiero d"
en, in battle with ordinary rabblelike thes
es,"piado, cuando le conoció yle dijo:-Señor"
es,"re Rocinante, metido todo elbrazo por el"
es,s espaldas y diera con él encimade la me
es," por el corazón, como si estuviese oblig"
es," su poderoso brazo; y así, con alborozo "
fr,ion: Aussitôt il se mit à vanner l'orge 
fr,l me dit de bienregarder s'il n'y avait 
fr,"entrer dans l'Église, et aller à Salaman"
fr,"pas assez d'êtresouffleté, pincé et égra"
fr,"or, s'il dit vrai, la loi veut qu'on lel"
fr,"arrête en aucune, et partout on larepous"
es,"ote decía; y no menos iba don Quijote, q"
es,"n la colcha, con las vendas,galocha o be"
es,"emplo de suamo. Y, a las primeras, dio d"
fr,"qui n'avez ni métier ni rente, et quiviv"
es,"to justo,   pues no hay más rica prenda "
fr,"'ailleurs, cela nous est arrivé plus d'u"
en,--and gave the spur tohis steed. Sancho 
en,"ke your Worship a very fortunate knight,"
es," dejes de ser mío. Mira, señormío, que p"
en,onversation between masterand servant. W
fr,"l'occasion s'en présentera, etc'est, à v"
es,"o:-Estoy informado, hermosa señora, dest"
es,"ua.La muchacha, aguda y diligente, llegó"
en,Suddenly a great noise was heard and the
fr,"ente trois ouquatre fois; que de plus, p"
fr,"it son histoire, que de se retirer en co"
es,"espada, arremetió a las andas. Uno de aq"
fr,"égale de part etd'autre, ne faudrait-il "
es,e en tanto que trae lacena leamos otro c
es," adornada, adonde las menudas conchas de"
es,n otros estraños acaecimientos en la ven
es, abominado con muchas y eficaces razones
fr,IÈRES  NOTICE SUR CERVANTES             
en," wassome dangerous highwayman. Yet, scru"
fr,"grands seigneurs. Ainsi donc, Sancho, qu"
fr,se pratique dans une imprimerie.Notre ch
es,"racia. Y si no fuese porqueimagino..., ¿"
es,"stas las puso en olvido. Enmudeció, perd"
en,ht that the journeywould last only a few
es," el suelo, y,quedándose la mitad dél en "
fr,ort de ma vie! quel cœur de rocher! quel
es,s poetas enamorados dicen es verdad?»-En
fr,quel il était enjoint à seslieutenants d
es,"es teologales y cardinales, decendiendo "
fr,"chaquequestion il prenait deux réaux, et"
es,eron que no era aquél tiempo de tomar re
es,"asildea de Vandalia, que has de consenti"
es,"la sangre, según después se supo, demodo"
en,"uire to the Countess Trifaldi, otherwise"
es,arca? ¿Qué sastre le llevó hechura deves
fr,"ma, y este invito  Andante caballero, en"
es,"e traer, entre en buen hora, que yo y mi"
en, he sent the bespangled gentleman flying
fr,enoux de notre héros: O fleur de lacheva
fr," et plein d'esprit, quisait lire et écri"
es,"cantado,sino trastornado el juicio.-Preg"
es,"l mar espacioso, las cualesenclavijadas "
es,Panza.Dicho esto y acabada la ligadura d
fr,"'ellea cette inclination, je la tiens po"
es,"yerran, y sabenestremadamente lo que deb"
fr,"outre, se laissant aller augré de Rossin"
fr,"Votre servante, THÉRÈSE PANZA.»La lettre"
fr," pardonne, luidit-elle, insensible cheva"
fr," Nous savons,dit-il, d'où procèdent de s"
es,"aviado, mas no afrentado; porque los niñ"
fr,"ontinua Sancho, je vous dis donc, avec l"
es,", y comeros han moscas.-Por cierto, seño"
es,én está allá bajo? ¿Quién se queja?-¿Qui
es,e su esposa Camila no tenía otro gusto n
es,mozos de a pie.-¿Vienen muy cerca? -preg
es,que en él ella es sola la que con tanhon
fr," moi d'intrépidité dans l'attaque, de ré"
es,"lpicón las más noches, duelos y quebrant"
es," quien dijo:-Bien puede vuestra merced, "
es,to como por las persuasiones del ventero
fr," dans leur langue maternelle, et n'ont p"
fr,é. N'avons-nous pas vu un des plus beaux
fr,ur me faire plaisir il t'en coûte lavie;
fr,que je vousaime; mais comme ce n'est pas
fr, fureur dont ilsavaient appris qu'il éta
es,estorbara Basilio la ordinaria entrada q
es,"tierrade cristianos, si a dicha se pierd"
es,lo que yotenía guardado más de veinte y 
en, that the inn could afford nothingthat w
fr,oupd'autres pièces qui ont fait la réput
fr,"qui me trouvera un défaut? Oui, oui, fai"
es,ielo lo que más fuere servido -dijo don 
fr,"lier, et m'ôte la vie, puisque déjà tum'"
es," le parezca, porque realmente le confies"
fr,je lui conseillerais une mesure à laquel
es,o yo esperaba de tu amistad; en todo he 
fr,s lettres servent souvent de marchepied 
es,"te a los demás peregrinos, se apartarona"
es,pendió a don Fernando y a los demás laes
fr,"lui dit le guide, observez bien, je vous"
es,ien tienepoder el vulgo y el uso.-En ver
es,"to, de muymala gana. Íbanse poco a poco "
fr,poésie pour prendrele sentier plus étroi
en,in his will. Sancho was much moved by wh
fr, et pour avoir pris l'étendard de l'ordr
fr,léance sur ce double événement. Mais Phi
en,"ities, and degrees, and his opinions see"
es,"aban a aquellas horas, y era tantoel rui"
fr,", du diable si j'en manquais, car il y e"
es," promesa demi gobierno, porque yo he oíd"
es,"ual elduque, la duquesa y don Quijote, s"
es,"ijote-; a lo menos, en estos tres días q"
es,"lí,porque el boyero no perdiese la comod"
es,jado de referir ha de hacer más memorabl
fr,"e matin,      Durant le jour bien occupé"
es,erte con todosu escuadrón volante volvie
es,"na, misobrina, que está presente, habien"
es,"ho Panza-, sino que del sobresalto que t"
fr,en-Engeli s'arrête en cet endroit pour f
es,rado bárbaro fanfarrón; acá un príncipe 
es,"ón de lasilla; pero, ¿quitar la silla al"
es,"speraba. Duró algún espacio, junto con e"
es,"s me den licencia,pues ya es hora para i"
fr,t aux chiens qui se battent. Sanchoseul 
es,"spechas,   ¡oh amarga conversión!, verda"
es,"gran ventura, porque se vino a averiguar"
en,ds before the drove of bulls was on hima
es,unta me respondió más de lo que yo quisi
es,"res nos engendraron!»Y, diciendo esto, d"
es,"s dijo:-Bien sabes, desconocida Quiteria"
fr, Dorothée: je ne puis voir à mespieds ce
es," fuera,sino los criados de casa. De allí"
fr,"pourcela, il ne me trouvera pas en défau"
fr," vous, mon ami? demanda le gouverneur.Se"
en," lamentations, confessing to the imagine"
es," si hiciere sermones al modo de Horacio,"
fr,ec des matelas; puis il continuait à nom
fr,"ts ne faisaient queresserrer le lien, de"
fr,n grand nombre de mousquetades: à lavoix
es,jotesintió su soledad; y si le fuera pos
fr,ieux vaut saut de haies queprières de bo
es,"a darlealgún hábito, y yo me hago cuenta"
en,reast.But while Don Quixote was contempl
fr,uègne fille a sur une duègne veuve. A qu
fr,"stant même, qued'exécuter la résolution "
es,ele decirque podría yo tomar un púlpito 
en,"homeward on Rocinante, so thathe himself"
es,tornó a hacer en su memoria e imaginació
es,"u señor que le siguiese; el cual,parecié"
es,do con su intención y con loque deseaba 
es," para menos, y, viéndole tan enojado, le"
es,los asientos.Apenas hubo dicho esto Sanc
es,"stro linaje y riquezas.Creció la edad, y"
fr,"ine, et on fit un léger repas avec ce qu"
en," Dorothea, knelt before her, and told he"
es,rase en la plaza. Hanme dicho que lohice
fr,ivit son seigneur qui s'en allait avec l
es,"don Quijote de la Mancha, la flor y la n"
en,"g him for his courtesy, they left him wh"
es,"ado de hacer,porque me viene gana de des"
es,o importa que haya en el mundocaballeros
fr,", et s'adressant à Montesinos:O mon cous"
fr,", au supplice de se voir entre lesbras d"
es,n vuestra merced si le ventan pertinaz.E
es, creyendo que los turcos eran invencible
es," hombres del remo, y de aquellos que más"
fr,"quart de lieue à la ronde, répondit Sanc"
fr,rances et les promesses de son maîtreéta
fr,"e c'eût été assez de s'évanouir, car enf"
es, enseñare.-Apostaré yo -dijo Sancho- que
fr,"os sentiments, car mon infortune esttell"
es,cos en España. Alguna vez como con mis v
es,"lintencionados encantadores, y a mí me s"
fr,t qu'il ne voulait qu'un peud'orge pour 
fr, D'AUTRES AVENTURES AUSSI VÉRITABLESA qu
fr,lui-même: Comment sepeut-il que l'homme 
fr,entre don Luis et les gens de sonpère. M
es,"én sois me lopodría quitar, no ha sido a"
fr,Sancho qu'il n'y trouvât quelquechose à 
fr,"s, je n'ai rien à en dire, si ce n'est q"
es,"arle fuertemente las riendas, fuera impo"
fr,it avec impatiencele retour de la lumièr
en,"en Sancho came to, he was certain that a"
es,"rovechosos, estuvo otrodía escuchando a "
fr,"ous, madame, répondit Léonelle; ce n'est"
fr,ntaient avec tant de violence moi présen
es," visorrey no recibió mucho gusto, porque"
en,ndo.The moment she recognized him she fa
es,"unos ociosos ojos, que lo suelen ver tod"
fr," une harpe qu'il tenait,chanta les stanc"
es,ortos de todo se trata y de todo se murm
es,"ncipal,anda fuera de su casa.-No hay dud"
es,a señora Luscinda era aficionada a libro
fr,ent trouver l'âne; et après bien des all
fr,"chaque minute de retard; et,confiant dés"
es," tío; y así, no le respondió otra cosa s"
fr,"vous rendra un compte exact, belle ingra"
fr,"ueillir tous leschevaliers errants, de q"
es,formó la sinrazón y cometió lacrueldad: 
es,"seamos.Abrióle, y lo primero que halló e"
es,"arromadizado, o te debiste de oler a ti "
es,bí le hallé en mi poder a cabo de dos dí
es,ias fingidas tanto tienen de buenas y de
es,or ti todo cuanto mis fuerzas alcanzaren
es,"er: cómo tú abriste al león, yo le esper"
fr,pauvreenfant se mettant à pleurer de plu
en,"ght-errantry, theygive up the life. To t"
es,mbiénnuevamente se hayan inventado otros
fr,paraître.Tosilos s'approchant de l'estra
fr,confus.  Comment guérir de maux qui nous
es,"do,o Rotolando (que todos estos tres nom"
fr,"ancho, qu'il fit monter sur sonâne, et p"
es,lacayuna y ponerla en lalista de sus tro
fr,as de grands seigneurs en Espagne pour c
es,ntes caballeros que por ellas vagaren qu
es,"ás agradable, y que convidase a que enél"
fr,ui coupa le chemin et le devança d'undem
fr,vous pourrez la voir sans dommage pour s
fr,éception l'attendait.Accueilli froidemen
en,"actually the case--inns seemed castles, "
es,"ibros que quedaban; y así, se cree que f"
fr, consolations; aussi passait-il le temps
fr," bien, dit don Quichotte, sois assuré qu"
es,"s y vencedores gran silencio, esperando "
es,siempre de acudir a lo que hubiéredes me
fr,onnaître que le diable se mêle bien moin
es,ene.No quiso tomar maese Pedro el dinero
fr," diable,dit-il à son adversaire, car tu "
fr,"e qu'on en ait, ni enfin prendre ces aut"
fr,ement.  [30] Royaumes extraordinaires ci
fr, les pauvrespèlerins s'apprêtaient à rem
es,"o muerto deuna tan hermosa doncella, que"
es,"; y, dejando de servir, dejarás de ser e"
fr, mon maître m'estimait assez pourmettre 
fr," royales! fuis, neparais jamais en ma pr"
es,"cella y decirte la verdad, te parece a t"
es,ondrá a correrte;y préciate más de ser h
es,"descalzos.-Mirad, hermano -tornó a decir"
fr,"ent à attaquer notre héros, qui s'en ser"
es,"otario, que el deseo que me fatiga es pe"
es,"apenas se hubo partido Sancho, cuando do"
es, rascándote la cabeza   y matándote la c
es,"-respondió don Quijote.Y, arrojando la l"
fr,ge ce que j'ai vu dans la caverne deMont
es,"que Felixmarte de Hircania, o quién más "
es,"as han de ser verdaderas, firmes y valed"
fr,"er mes paroles.Dis donc contrôler, préva"
es,e eldescaecimiento en los infortunios ap
en,ad continued its way.But Don Quixote sti
es," viniésemos en casa de mi padre, con oca"
es,está poco más de cien jornadas más acáde
fr,s.Pendant que notre héros s'abîmait dans
en,e confessed to her how greather love was
fr,"eu te soit en aide, pauvre don Quichotte"
en, a time. After the curate had taken leav
fr,ien-aimé. Mais le malheur poursuit toujo
en,and having been stirred tounusual depths
es, para prueba desta verdad quiero decir a
fr, L'ON RACONTE CE QU'ON Y VERRAIl était m
fr,voir le paraître à propos. Je ne dis rie
fr," sans commettre un crime, et sansme donn"
es," la primera,la cual la hizo una mamona m"
es,tes; y todo por la furia mal considerada
es,"s a menos; pero, si tú vives y yo vivo,b"
fr,"e deson cheval, il attendit qu'un nain v"
es, es menesteraprovecharnos del conocimien
es,"nte juro.   ¿Puédese, por ventura, en un"
es, comediaque todas estas partes tuviere m
fr,"squ'elle avait les mains libres, s'était"
es,"paña; y si elcontrario no acude, en él s"
es,"e, socorriendo a una viuda en algún desp"
es,"ue es parte suya, pues la llama a cada p"
fr,usagréable voix qui soit au monde.Claire
en,s false illusions as to the existence of
en,e thanks to Heaven that Don Quixote took
fr,és dans un bouquet dechênes qui est proc
es,on esto Anselmo y quiso aguardar el térm
fr,eu que ton écuyer Sancho néglige de se f
fr," bien, continua Sancho; mais, dites-moi,"
es,"n Quijote-, sino que paraque tomes fuerz"
fr,", quoique bien fouetté; mais on ne prend"
fr,itié desdegrés pour serrer plus tôt entr
en,"em went torescue the skiff for them, and"
es,e vea y considere ser del provecho que d
es,"su cabeza puesto el yelmo de Mambrino,so"
en,"ey were not armies, but droves of sheep!"
es,ba y ha de volver atrás aquello que pare
es,e lo que había oído decir que ahora no s
fr, sortait en foule pour la voir: chacun l
es, tener agora conqué llegar a Sevilla que
es,"omo lofue el famoso Roldán, uno de los d"
es,"e mil satanases,por no maldecirte por en"
es," tercera, a buscar por ese mundo lo que "
en,anted and made to appear like thetwo vil
fr,"n, et Cie, imp.              Furne, Jouv"
es," lo que eran; antes,iba diciendo en voce"
en,orroborated thecurate's explanation with
fr,"avait qu'un inconvénient, la différence "
en,"hile she waskneeling before him, Sancho "
en,. They marveled at his knowledge and at 
es,"spada en los ojos, le dijo que se rindie"
es," llegando a él se tendióen el suelo, enc"
fr,"nt du ventre de ma mère, et s'il m'échap"
es,"uedando yo pesaroso, me mostrara ella de"
es,e ya había llegado al reino de Micomicón
fr,"ans s'émouvoir, parait toutes ses attaqu"
en,"ow, and then jumped on his chest and buc"
fr,venabledepuis son mariage. L'honneur d'u
fr,raite de la sage Félicie et de l'eau enc
fr,endroit où ils avaient étéculbutés et fo
fr," amour? Cependant, à quelprix es-tu venu"
es,emediar desdichas del cielo poco suelen 
es,"ecto de la dichacorreción y tasa, hasta "
fr,"lle promesse de prendre le _don_, et des"
fr,"agène, car j'aime mieux avoir le roipour"
es,"vuelto en Dorotea, y el gigante en donFe"
fr,la reconnaître; ceux mêmes qui étaient d
fr,"combe,j'aurai du moins l'avantage de ne "
fr,n étoile et l'heure où il s'était attach
fr,"entiments enenrichissant mes amis, à com"
fr,e que le chevalier desMiroirs; confiant 
fr,"outes les ruses de la salle, et si, avec"
fr,"angereusement blessé, ou peut-être tué d"
fr,"a gloire, en reculant d'une seule minute"
fr,sciencechargée de toute la bourre de ces
fr,"ne si légère blessure, ils se regardèren"
fr,ndaient deux branches allant jusqu'à la 
fr,"dce n'est qu'un simple jeu.Enfin, après "
es,"r alivio estas cadenas que me ciñen, y n"
fr," ce que tu voudras, et me laisserai cond"
fr,"que tu m'avaispromis, et ce que je devai"
es,"le, señor hidalgo, que haya podido tanto"
fr,"n cher maître, et allonsrecevoir don Gas"
es,"eros de armas de los soldados; y digo, s"
es,"is donde noos llaman.-Pardiez, vuesa mer"
es,"e le hiciese gobernador, como se lohabía"
fr,"aux galères, répondit le forçat, qui éta"
fr,cteur Pedro Rezio lui promit de le laiss
es,ro cuento; basta que en la narracióndél 
fr,tre quatre pieux aux quatre coins dubât 
es,"e son seis tropas de encantadores, que s"
es,"ín que está lleno de flores y rosas, cuy"
es,"s, que son tan diferentes de los tuyos c"
es,"las a sus pies; y, derramando muchacanti"
fr,"uâmes en hâte vers la terre, que nous av"
fr,à Séville desapprovisionnements pour cet
en,hey assured him he would find no end ofa
fr,! justice! criait-il; cedétrousseur de p
fr, la tête ou emporterune oreille. Prends 
es,que más necesidad tenía el mundo era de 
fr,", vous auriez bien mérité d'être couronn"
fr,and les comtesses serventen qualité de d
fr,"onté de vive voix, touchantl'amour que v"
en,ugh they were at aloss to understand how
fr,"ue je fus le premier trompé, comme le di"
fr,ent ceshommes n'étaient pas tant des bât
fr," nécessaire dans ce rasement de barbes,c"
es, amores como los que vuestra merced pien
es,esperaban de ver la cobardía dedon Quijo
en,HIS GOOD SQUIRE SANCHO PANZA ENDUREDAT T
fr,yjusqu'à ce que j'aie parlé à ces chiens
fr,érêt àle savoir.Je m'appelle don Alvaro 
fr, que dureraient leurs provisions. Ils co
fr," sûreté; quant à moi, je suisbien sûr qu"
es,"o está en Cantillana, y que, si me dan o"
fr,"t_, s'écria le médecin, il n'y a rien de"
es,"te-. Y, en efecto, ¿qué dice Teresa?-Ter"
fr,"éternellement.Dorothée, surprise de ce d"
fr," d'une grande érudition,car j'y explique"
fr, car ses bas étaient de cette couleur.En
en,"he Duchess, who were among the bodies ly"
fr,"étant àhaute voix: Où donc es-tu, superb"
es,"a de Sorrento,perdices de Morón, o ganso"
fr," Quichotte, l'hôteliers'empressa d'ouvri"
fr,ués fussent comme cessignes qui relèvent
en," to come along, for, he said, thedaughte"
fr,près avoir repris haleine pendant quelqu
es,"rse vencer, por defraudarle de la fama q"
es,"cielo ni la tierra, ni la mar ni las are"
es,a gran fama que tiene de hermosa y discr
fr, disgrâce.Il accompagna sa prière de tan
fr," la nièce mangeait de bon appétit, la go"
fr,x;enfin sa tenue et ses manières annonça
es,"ueltrabajo tomase; y, con mucha pacienci"
fr, dire de ce musicien dont les accents vo
en,ainst the wooden bars.They had traveled 
fr,"ciel et la terre, et de menacerles scélé"
es,"se llamó el templo de todos los dioses, "
fr," la lui donna.Passant à un autre, don Qu"
en,"rry them.When the fray was over, Don Qui"
fr,se pas que cet autre se nourrisse de ven
fr,e mal estpour celui qui va le chercher: 
en, theexpress permission of her Royal High
es, el sol con sus rayos en los ojos a Sanc
fr,"parmi lesplus habiles, d'écrire ce qui l"
es,"d.Don Quijote dijo que, aunque llegase a"
fr,pprit de vos nouvelles fut Ossuna.C'est 
fr,r semblable valise en croupe.Ils s'assir
fr,"ges, écrits avec la perfection dont vous"
es,"ponder"", y ""si da el cántaro en la piedr"
es,ra merced se la haga dehacerla saber cóm
es,cia hay de las obras que sehacen por amo
en,"let the country come, and God bewith you"
es, habíade responder el pobre y mal lograd
fr,"r que je ressens, je te raconterais l'hi"
es," ahora a rapar estas dueñas, que a la vu"
fr,"rdres,nous n'avons entendu que les soupi"
es,", y al cabo de loescrito hecha una grand"
fr,ne pourraient l'être s'il ne s'y trouvai
en,", and had nevervisited Dulcinea in her p"
fr,n rapporteà l'examen des experts!Tout le
en,"sts, bedding andother family treasures. "
es,"olaba que corría; y así, no hay paraqué "
es,diosos encantadores. Y perdóneme vuestra
fr,"re chose,je n'en sais rien: quoi qu'il e"
es, vuesa merced no coma detodo lo que está
es, decirse: que es dulce elamor de la patr
es,"viese,porque su hermano le escribía que "
fr,les pierreries qu'elle avait emportés. L
es,azones de don Quijote ya no las escuchab
en,NS OF THE DIVINING APEDon Quixote found 
en,ation with the droll andamusing Sancho i
es," podía comparar, era don Galaor, hermano"
fr,"t Anselme,toujours pour appuyer les sent"
fr,"qu'on ne s'enaperçût pas, avait sillonné"
fr,ndit que c'était _la seconde partie del'
es, penéis por saber elnombre de vuestro li
es,a quien dio felice fin a costa de susudo
fr, de telle sorte qu'il ne pouvait plus se
es,"iaje que llevaba don Quijote,y llegaron "
fr,un livre de l'italien en langue castilla
es," cual, como tengo dicho, no la tienen de"
es, dijo don Quijote:-Caballero andante he 
es,"mino que decíanque les faltaba, al llega"
es,"mo losupo, escogiendo para su compañía a"
en,"ing with his spear in all directions,the"
fr,"a dame et mon bras, ne me font pas défau"
fr,ez-vous d'en user ainsi? Sachez que lesr
en,"he papers he had saved from the fire, wh"
en,eparted from this earth.The moment the t
es,sto súbito en todas las gentes.No podía 
es,"la bacía y la trujo; y, así como don Qui"
fr,"issées de l'hiver, deregarder les lions "
es,"uier plebeyo, este prólogo, creyendo hal"
fr," s'être laissé donner l'accolade, s'écar"
es,esto doy ya por hecho y porcosa pasada e
fr,"n Quichotte de la Manche, quecertain aut"
fr,"s, je suis parfois obligé de le faire,qu"
es,"aso acostumbrado del terradillo, por ver"
es, hará cuando descubra hechoun bosque su 
es,delante no me aparte un dedo de su prese
es,"ó de llevarestas nuevas, para que, celos"
fr,"e Quitterie, que tu m'avais donné ta foi"
fr,s le plus grand dénûment. Depuis ce jour
fr,"drille deBasile. Ainsi, tout chagrin, qu"
fr,"hai de vous; car, en sa qualité defemell"
es,"al caminante.-Digo, Sancho -respondió do"
fr,"le marquis de Mantoue, répondaitle labou"
es,"lebrándola yo en mis versos, vengo a des"
es,"partó, y quedó el escudero tan bien barb"
es,"ente invidio,   que mostraron tu cuerda "
es,"ide no lleva camino, ni tiene sombra dej"
fr,pée à la main contre des gens quine sont
es,"as suelen ser tales, que muchas vecesqui"
fr,"lesen tirer, l'un par les pieds, l'autre"
fr,"e mal à cela, jevoulais seulement que ch"
fr,"ntre ceux quine le sont pas, si ce n'est"
fr,é élevé depuis mon enfance.[Illustration
fr,"igués,qu'ils pouvaient à peine se souten"
es, huésped.A lo que replicó don Quijote:-S
fr,"ilippe III, promenait ses regards sur la"
fr," voler le cheval de Sacripant, et lui ti"
es," fuera mudo.-Ya te entiendo, Sancho -res"
es," como la mora decía, no osamos contradec"
es,"ñorMontesinos, que los encantados princi"
fr,"ies. Quiconque le dit ment impudemment, "
fr,"ous étions des chrétiens esclaves, les c"
fr,"és dans votre île pour vous ôter la vie,"
fr,"connaître, àune époque ultérieure, la ma"
en, overwhelming that eventhose who had arr
fr,"a tomber à plus de cinquante pas, comme "
en,He pleaded with Sancho and implored him 
es, lugar de testamento ycodicilo que no se
es,n el alma. Así entrarán ellas en mi apos
fr,"t étonné, Sancho, reprit don Quichotte, "
fr,"le. Bref, don Quichotte et Sanchoremontè"
es," quiero otra cosa, en pago de mis muchos"
fr,cherie à propos de l'enchantement deDulc
fr,"ecevoir, Don Fernand, Cardenio et le cur"
fr,"sgrimacières et mijaurées? Arrière donc,"
es,e y su hija salieron a recebirle: el pad
es,"s las venganzas del mundo: déme, si tien"
fr," tu dis, sois sûr que les enchanteurs, a"
fr,nt fait assez voir dans lamétamorphose d
fr,"ez mon père, où donFernand fut reçu comm"
fr,"pothicaire; de plus, elle est comtesse, "
fr, commença àenfourner dans son estomac le
fr,averser l'esprit: pendantqu'elle était a
en,"own of his many deeds andconquests, his "
en,TURE WITH A FAIR HUNTRESSSancho left the
fr,"ique, notre héros s'adressa au censeur i"
es,vor que ella meda y de ser yo suyo.-¡Ay 
es,raron con él hasta volverle porla sinies
es,trás de unos tapices donde se habíaescon
en,"ving news from her father, she skipped a"
fr,"me, s'écria-t-il, vous êtes la fille uni"
es, vuesa merced ha cursado las escuelas: ¿
es,"n de hacer es estraordinario y nuevo,por"
fr, rendre témoignage. Il était attaché à u
fr,"te,l'affliction de cette femme paraissai"
es," elotro, que decía:-¡Oh Caballero de la "
es,irse de las palabras que vuesamerced dic
fr,"autres, s'écria Sancho: qu'est-ce que le"
es,"mpo que la ciudad estaba ya cerrada, y p"
fr, d'une parole que je n'aurais pas voulur
fr,"les écus, oh! c'est différent. Surun bon"
fr,il soit possible de rencontrer sur unegr
es," la puerta de lasala a recebirle, y con "
es,osencantadores que en ellas se entremete
fr,is; mais le curé voulut connaître au moi
es,"o seco, hasta que con más acuerdo se vea"
fr,a moindre fatigue. Mais revenons à nos a
fr,voixpresque larmoyante: Vaillant chevali
fr,ervira à me retrouver; Thésée ne fit pas
es,liebre esDulcinea del Toboso y estos gal
es," pintor del mesmo demonio, ¿y a estas ho"
es,por vuestramerced contra la orden de su 
en,e and that they were regaling him withmu
es,mosura? A buen seguro que lahallaste ens
es,"do yo el mando y el palo, haré lo que qu"
es," mundo.Tu mujer,Teresa Panza.Las cartas "
fr," continua Sanchette, que je serais aise "
en,"anded the players to halt, saying he wan"
fr, état si piteux qu'un secondl'eût à jama
fr,et comme doit le faire tout chevalier er
fr,"le jour suivant qu'au coucher du soleil,"
es,"traje era cual se ha pintado,sólo que, l"
fr,.En entendant parler de la sorte le chev
fr,"ettrès-illustre princesse, que la dilige"
es,"rro?'' Y, repitiéndole el nombre depoden"
es,"es la hermosa Dorotea, la hija única del"
es,amos;que me va dando barruntos que desea
es,"l referido caballero; y así, siendo yo l"
fr," de leurs auteurs, et enrichiles comédie"
fr,on quinze à seize ans. Ses cheveux étaie
fr,un coup de carabine et deux coups de pis
en,"did not matter, and proceeded to makerea"
fr," rois, là vont leslois; tant il y a que "
es," yendo yviniendo desa manera, que no aca"
es,"ver don Quijote, con muchos criados suyo"
es," le mató? -preguntó don Quijote.-Dios, p"
es, no les será inferior en elánimo; y Dios
es,ecíale que todo aquel suceso pasaba en s
es,"s doy, que es una ínsula hecha yderecha,"
fr,"saune joie extrême, puis enfin après dix"
en,l in with his wishes for the sport ofthe
es,"gaos, hombre de bien -dijo Sancho-, y co"
fr," dit à Sancho: Sancho, vous savez que lo"
es,"les ollas podridashay, no podré dejar de"
fr,"nce. Leurs éloges furent tels, que je m'"
es,l libro? -preguntó don Quijote.-A lo que
es,si han de redundar en menosprecio del se
es,nuestras cadenas y la libertad de nuestr
es,"arne yhueso.-Señores, yo no sé más de mí"
fr,"visant ainsi, ils étaient entrés dans un"
en,"te was thus complaining,Sancho struggled"
es,"de Luscinda, y al primero a quien hicela"
es, alegría y saltando el contento.Otros mu
es,"los alcances, viéndole caído, dio vocesa"
es,"as,partesanas, alabardas y picas, y algu"
es,"ellanzón bajo, llevando intención de pas"
fr,nts; que le seigneur Sancho Panza est bi
fr,lle! faut-il donc que ma langue publie  
fr,"rée (p. 200).]Je pourrais vous croire, r"
en,"nd he hastened to his master's room, whe"
es, su tierra presos. Prometímosle de hacer
fr," à l'instant, repartit Thérèse; lisez se"
es,"para mí tengo, o que vuestra merced se b"
fr,"n:Paris, S. Raçon, et Cie, imp.         "
es,"ncrucijadas, pueslo podía hacer a poca c"
fr,"éclat, sa beauté première[108].  [108] C"
en,"s at its peak, the courier with Sancho P"
es,dole uno que qué quería decirDeum de Deo
fr,our fixé pour le combat. Dans l'interval
es,nía a la nueva orden y al nuevo ejercici
fr,"t le chemin de la plage, accompagné de d"
en,en the good canon heard the two of them 
es,"rlas en disputa, lasaprobé por buenas y "
fr,"ette épée. Connais-tu Anselme, et me con"
en,"out the city, Don Quixoteinsisting that "
fr,"dant les provisions, il parla ainsi à do"
fr,lier contre les débrisde notre malheureu
es,llos queno saben aprovecharse dellas''. 
fr,"moment, retournons à Sancho, quenous tro"
fr,rais affirmer que le géant Morgan ait ét
fr,aurait bien dû omettre quelques-uns de c
es,"ajo, los broches, losrefranes y el enton"
es,rcebido el enemigo; pero si se tomara mi
en,"ixote should haveno suspicions, ordered "
es,"ue, sólo por el valor de subrazo, han su"
en, they would soon encounter more men in a
fr, jugement de mon maître en une folie si 
fr," dans sa maison ni ailleurs, un sot nesa"
es,"licio, sin la añadidura de las malas raz"
fr,"dien, et si grands qu'iln'en est point e"
es,"imiento dequién ella era; que, viendo qu"
es,"uetenía, tirámosla en tierra, y subímono"
fr,ommede sens. Mon compagnon avait choisi 
es,nalanza arrimada a la encima adonde esta
fr, de temps après. On l'avait surnommé FAR
es,"lestes, que a la vanidad de la fama que "
es,e caballero que vuesa merced nos hatraíd
es, cuchillada a don Quijoteencima de un ho
fr,ettro._FIN DE LA PREMIÈRE PARTIE[Illustr
es,"ísimoraso carmesí, y, cogiendo a don Qui"
en,ve him to use his instincts in search fo
fr,"tés, et qu'ildistinguait à l'éclat de le"
fr,"ctionnait, l'Amadis de Gaule...A peine d"
es,"mal ni el bien sean durables, y de aquí "
